Date,Open,High,Low,Close,Volume
13-07-2017,1222.5,1236,1213.300049,1223.199951,3131960
14-07-2017,1191.5,1212.5,1187.5,1198.719971,4508432
17-07-2017,1198.849976,1211.050049,1191.099976,1197.719971,2211822
18-07-2017,1198.069946,1221.5,1198.069946,1204.180054,1908002
19-07-2017,1207.75,1230,1207.550049,1224.800049,3915576
20-07-2017,1224.619995,1228.449951,1215.25,1222.349976,1182504
21-07-2017,1217.449951,1250,1217.280029,1245.599976,2148416
24-07-2017,1241,1270,1241,1265.349976,2271402
25-07-2017,1262.880005,1290,1259.199951,1285.75,2678832
26-07-2017,1280,1287.5,1273.5,1278,1459826
27-07-2017,1271.099976,1292.400024,1233.25,1240.849976,4255304
28-07-2017,1240.5,1246.530029,1221,1242.150024,1382752
31-07-2017,1235.5,1259.5,1231.5,1245.900024,2019662
01-08-2017,1250,1260.380005,1245.5,1250.819946,1747460
02-08-2017,1250,1254,1231,1236.900024,1251024
03-08-2017,1240,1251,1233.219971,1244.719971,1882548
04-08-2017,1245.400024,1264.150024,1244,1261.400024,1387890
07-08-2017,1258.25,1260,1240.599976,1251.719971,1885520
08-08-2017,1256,1264.300049,1248.150024,1251.530029,1073958
09-08-2017,1250,1261.430054,1246.650024,1256,992946
10-08-2017,1254.5,1260.300049,1243.180054,1255.719971,1526172
11-08-2017,1249.949951,1267.5,1241.5,1248.030029,1394736
14-08-2017,1251.5,1254.949951,1231.5,1234.699951,786504
16-08-2017,1242,1271.900024,1232.599976,1246.180054,1373340
17-08-2017,1250.349976,1252.5,1231.050049,1242.819946,1752374
18-08-2017,1237,1274.949951,1235.699951,1256.900024,2837356
21-08-2017,1252.75,1274.5,1247.150024,1264.400024,2304834
22-08-2017,1261.5,1269.75,1246,1248.780029,1131326
23-08-2017,1252.5,1258.400024,1236.569946,1244.719971,1562272
24-08-2017,1248.849976,1258.969971,1243.069946,1248.300049,1623908
28-08-2017,1252.300049,1252.699951,1230.5,1243.650024,2036796
29-08-2017,1241,1248,1231.969971,1235.430054,1312602
30-08-2017,1240.5,1245,1230.050049,1242.280029,970782
31-08-2017,1242.5,1252.199951,1233.319946,1248.180054,1784664
01-09-2017,1240,1249.030029,1218.280029,1228.219971,1702330
04-09-2017,1226.550049,1230.5,1219,1228.099976,1062544
05-09-2017,1230,1245,1218.530029,1242.180054,1165994
06-09-2017,1234.069946,1237.430054,1225,1226.599976,1228764
07-09-2017,1229,1234.199951,1225.530029,1230.050049,870636
08-09-2017,1226.880005,1237,1226.280029,1235.300049,1021134
11-09-2017,1235.599976,1241.469971,1225,1227.219971,732764
12-09-2017,1236.949951,1248.5,1228.5,1244.219971,1396460
13-09-2017,1250,1265.819946,1237.599976,1244.599976,1278980
14-09-2017,1241,1248.800049,1235.949951,1243.469971,1081510
15-09-2017,1249.5,1258.5,1242.5,1253.030029,2944072
18-09-2017,1252.469971,1259.469971,1244.619995,1249.530029,726600
19-09-2017,1252.5,1252.5,1245.75,1249.119995,782754
20-09-2017,1257,1257,1237.150024,1246.780029,1334642
21-09-2017,1245.530029,1270.5,1240,1262.449951,2438740
22-09-2017,1259.949951,1263.449951,1246,1251.800049,2435396
25-09-2017,1248.280029,1267,1246.380005,1255.380005,1599558
26-09-2017,1255,1263.199951,1233,1237.319946,1449230
27-09-2017,1245,1256.099976,1236.880005,1247.5,2010356
28-09-2017,1247.349976,1257,1226,1238.219971,4332866
29-09-2017,1239.5,1242,1210.75,1217.969971,1985014
03-10-2017,1220,1227.150024,1213.530029,1224.219971,1923006
04-10-2017,1224.800049,1227,1212.5,1221.150024,1300778
05-10-2017,1220.5,1221.719971,1212.199951,1214.800049,1684686
06-10-2017,1215,1227.5,1214.030029,1223.319946,1389188
09-10-2017,1220.530029,1233.969971,1220.530029,1227.050049,1773616
10-10-2017,1227.5,1234.969971,1225.619995,1229.619995,1222010
11-10-2017,1230,1257.219971,1228.380005,1250.180054,1527746
12-10-2017,1256.5,1277.5,1253.5,1274.099976,5006356
13-10-2017,1274.099976,1304.469971,1261.5,1279.300049,4066320
16-10-2017,1277.530029,1295,1277.530029,1292.199951,1218590
17-10-2017,1292.5,1307.469971,1288.780029,1297.280029,1443016
18-10-2017,1297.5,1306.819946,1290,1293.300049,1514144
19-10-2017,1296,1297.900024,1285.5,1291.949951,86822
23-10-2017,1292,1314.5,1273.719971,1293.949951,1886088
24-10-2017,1310,1310.449951,1284.530029,1289.199951,1339020
25-10-2017,1289.25,1307,1277.5,1279.949951,1105106
26-10-2017,1267.550049,1284.569946,1258.949951,1269.430054,3007552
27-10-2017,1269,1296.569946,1265.150024,1292.150024,1409270
30-10-2017,1293,1310,1290.849976,1308.099976,1137252
31-10-2017,1300.650024,1320,1300.650024,1312,1592634
01-11-2017,1312,1313.430054,1289.430054,1301.430054,741882
02-11-2017,1304.25,1337,1303.380005,1313.069946,1468422
03-11-2017,1316.199951,1318.349976,1301.400024,1310.050049,666886
